t;max_slip_rate;moment_rate
0.43741571292893E+02;-0.6976203E-02;0.7234106E+19
0.43782717853485E+02;-0.6347127E-02;0.7271854E+19
0.43823695063460E+02;-0.4905650E-02;0.7309884E+19
0.43864317450690E+02;-0.3570313E-02;0.7347705E+19
0.43904757727381E+02;-0.3226411E-02;0.7385268E+19
0.43945198316210E+02;-0.2890618E-02;0.7422639E+19
0.43985878888799E+02;-0.2651151E-02;0.7459973E+19
0.44026496706617E+02;-0.1971088E-02;0.7496838E+19
0.44066897535037E+02;0.1311996E-03;0.7533177E+19
0.44106933173568E+02;0.3887291E-03;0.7569446E+19
0.44146946068403E+02;0.5669515E-03;0.7606614E+19
0.44187200989273E+02;0.9104205E-03;0.7645158E+19
0.44227188840423E+02;0.1614898E-02;0.7684320E+19
0.44267149621703E+02;0.3606311E-02;0.7723839E+19
0.44306741627321E+02;0.4113947E-02;0.7762763E+19
0.44346308099772E+02;0.4466930E-02;0.7801031E+19
0.44385865175823E+02;0.4309938E-02;0.7838688E+19
0.44426170485165E+02;0.5119305E-02;0.7876646E+19
0.44465689648855E+02;0.6758446E-02;0.7913853E+19
0.44504795341041E+02;0.7732175E-02;0.7951225E+19
0.44543973181052E+02;0.8174049E-02;0.7989752E+19
0.44583139422154E+02;0.8381558E-02;0.8029568E+19
0.44622262242710E+02;0.8304128E-02;0.8070114E+19
0.44662211078610E+02;0.9669309E-02;0.8111323E+19
0.44701103649125E+02;0.1131857E-01;0.8150730E+19
0.44739851159098E+02;0.1176215E-01;0.8189331E+19
0.44778734332766E+02;0.1213296E-01;0.8227821E+19
0.44817412182172E+02;0.1197368E-01;0.8266335E+19
0.44856140297512E+02;0.1273897E-01;0.8305293E+19
0.44895100429451E+02;0.1468761E-01;0.8344826E+19
0.44933384339160E+02;0.1526615E-01;0.8384111E+19
0.44971700604449E+02;0.1567458E-01;0.8424237E+19
0.45010037596279E+02;0.1590238E-01;0.8465306E+19
0.45048344501576E+02;0.1576966E-01;0.8506694E+19
