Benchmark: bp4-qd (Strike-Slip Fault in a 3D Wholespace)
 
User: barbot.6 (Motorcycle, SBEM, dx=500m, W=120, L=120)
 
File: fltst_strk-165dp-120 (x2 = -16.5, x3 = -12.0 km)
            

# problem=Benchmark problem (BP4-QD)
# author=Sylvain Barbot
# date=Tue Mar 30 22:47:11 PDT 2021
# code=motorcycle-3d-ratestate
# code_version=beta
# element_size=500 m
# minimum_time_step=0.001
# maximum_time_step=12642527.3214
# num_time_steps=2932
# location=on fault, km depth
# Column #1 = Time (s)
# Column #2 = Slip_2 (m)
# Column #3 = Slip_3 (m)
# Column #4 = Slip_rate_2 (log10 m/s)
# Column #5 = Slip_rate_3 (log10 m/s)
# Column #6 = Shear_stress_2 (MPa)
# Column #7 = Shear_stress_3 (MPa)
# Column #8 = State (log10 s)
# The line below lists the names of the data fields
t slip_2 slip_3 slip_rate_2 slip_rate_3 shear_stress_2 shear_stress_3 state
# Here is the time-series data.
4.980421964201E+01 1.9974 -1.536893094877E-003 -0.410643 -2.74562 -2.579686010486E+001 -1.192858474243E-001 -1.000745680880E+000
4.997441303636E+01 2.06167 -1.834589872118E-003 -0.435478 -2.76795 -2.581309281564E+001 -1.200522769336E-001 -9.774800933054E-001
5.013589634220E+01 2.11929 -2.103890733783E-003 -0.460038 -2.78833 -2.582923459347E+001 -1.212873573394E-001 -9.544112762794E-001
5.028387249153E+01 2.16923 -2.339512623236E-003 -0.483652 -2.80772 -2.584451550034E+001 -1.225452555380E-001 -9.323906324285E-001
5.044071377308E+01 2.21924 -2.577494074711E-003 -0.509469 -2.8305 -2.586137737087E+001 -1.234877820958E-001 -9.082133913558E-001
5.059224097745E+01 2.26479 -2.796191121193E-003 -0.534691 -2.85035 -2.587817168826E+001 -1.251048471677E-001 -8.843760725792E-001
5.073211940894E+01 2.30455 -2.990031448787E-003 -0.557848 -2.86568 -2.589388674521E+001 -1.274563695557E-001 -8.622902433610E-001
5.088613788647E+01 2.34597 -3.196676224598E-003 -0.583102 -2.87831 -2.591113307913E+001 -1.313031004454E-001 -8.381278443697E-001
5.103494153480E+01 2.38376 -3.391174323045E-003 -0.607466 -2.88984 -2.592755778069E+001 -1.353291431854E-001 -8.149579050631E-001
5.118326111180E+01 2.41937 -3.579142121736E-003 -0.631996 -2.90405 -2.594371776420E+001 -1.386696251139E-001 -7.918843611129E-001
5.132409340960E+01 2.45135 -3.752481169303E-003 -0.655724 -2.91618 -2.595895042361E+001 -1.425067374579E-001 -7.698291093241E-001
5.149028254302E+01 2.48689 -3.949667288081E-003 -0.684222 -2.93489 -2.597702037416E+001 -1.458534432482E-001 -7.434949158200E-001
5.164114800181E+01 2.51719 -4.122370970819E-003 -0.710361 -2.94827 -2.599356954983E+001 -1.502984176095E-001 -7.193512839349E-001
5.177827582265E+01 2.54319 -4.273856279339E-003 -0.734053 -2.96522 -2.600877458532E+001 -1.527388654684E-001 -6.973372682794E-001
5.190940214773E+01 2.56676 -4.414002712798E-003 -0.756439 -2.97644 -2.602335583419E+001 -1.568057756409E-001 -6.763859362311E-001
5.205861444135E+01 2.59217 -4.568654434451E-003 -0.781375 -2.99372 -2.603993148812E+001 -1.596973330555E-001 -6.528315125117E-001
5.220287407702E+01 2.6154 -4.712468589662E-003 -0.804741 -3.00769 -2.605580871687E+001 -1.632868938568E-001 -6.305257470363E-001
5.234695638299E+01 2.6374 -4.851810649499E-003 -0.827295 -3.02275 -2.607139747924E+001 -1.662301756427E-001 -6.088209518459E-001
5.251392278715E+01 2.66155 -5.006836088281E-003 -0.852366 -3.04007 -2.608902937878E+001 -1.693381933371E-001 -5.844918644366E-001
5.268475935191E+01 2.68487 -5.159922595803E-003 -0.876999 -3.05669 -2.610643017931E+001 -1.726061784002E-001 -5.605352158471E-001
5.282559551627E+01 2.70315 -5.281446170869E-003 -0.896655 -3.07031 -2.612025479013E+001 -1.751161564363E-001 -5.414595058307E-001
5.294293688843E+01 2.71776 -5.380242339068E-003 -0.912777 -3.07958 -2.613136073734E+001 -1.779754938908E-001 -5.259657247325E-001
5.308482702167E+01 2.73473 -5.496422874710E-003 -0.932096 -3.094 -2.614435818366E+001 -1.800852058422E-001 -5.076124610417E-001
5.324447310665E+01 2.75293 -5.623160669052E-003 -0.953879 -3.10632 -2.615841285180E+001 -1.841512854696E-001 -4.873122059452E-001
5.341712999052E+01 2.77162 -5.755796368395E-003 -0.977714 -3.12303 -2.617310926770E+001 -1.873005909694E-001 -4.655607975823E-001
5.358777929779E+01 2.7891 -5.882285549656E-003 -1.00173 -3.13711 -2.618723598400E+001 -1.917373705776E-001 -4.440926429267E-001
5.374337426865E+01 2.8042 -5.993756196530E-003 -1.02407 -3.15277 -2.619993106355E+001 -1.948025697763E-001 -4.244278854770E-001
5.390836603459E+01 2.81939 -6.107831108053E-003 -1.04819 -3.16776 -2.621327691602E+001 -1.990467791124E-001 -4.034270061124E-001
5.404360284271E+01 2.83122 -6.198278099951E-003 -1.06825 -3.18195 -2.622420317761E+001 -2.018371543330E-001 -3.860848176897E-001
5.416550216176E+01 2.84142 -6.277310420525E-003 -1.08647 -3.19422 -2.623406932649E+001 -2.046955436411E-001 -3.703690844312E-001
5.431879732315E+01 2.85365 -6.373614451574E-003 -1.10952 -3.21003 -2.624649778118E+001 -2.082380450277E-001 -3.505229056690E-001
5.447583936635E+01 2.86553 -6.468537605009E-003 -1.13312 -3.22704 -2.625929975798E+001 -2.115228032121E-001 -3.301514142819E-001
5.462706797654E+01 2.87638 -6.556601059186E-003 -1.15575 -3.24291 -2.627165295488E+001 -2.149446000601E-001 -3.105620596003E-001
5.477268410886E+01 2.8863 -6.638295562797E-003 -1.17733 -3.25907 -2.628358431615E+001 -2.177450290884E-001 -2.917852272645E-001
5.490992149726E+01 2.89522 -6.712632989324E-003 -1.19741 -3.27348 -2.629482434338E+001 -2.206975291780E-001 -2.742205705725E-001
5.503841354710E+01 2.9032 -6.779998867888E-003 -1.21593 -3.28751 -2.630533088761E+001 -2.230782543390E-001 -2.579289297253E-001
5.518882717564E+01 2.91213 -6.856162172143E-003 -1.23717 -3.30342 -2.631759903744E+001 -2.259439663965E-001 -2.390948297141E-001
5.535550688822E+01 2.92153 -6.937413338471E-003 -1.26014 -3.32088 -2.633109648218E+001 -2.289437017002E-001 -2.185752019339E-001
5.551349691655E+01 2.93 -7.011470267961E-003 -1.28126 -3.33708 -2.634379533152E+001 -2.316643695630E-001 -1.995127821687E-001
5.567099209733E+01 2.93805 -7.082656650055E-003 -1.30169 -3.35278 -2.635630976433E+001 -2.343108602474E-001 -1.809235481772E-001
5.583245969033E+01 2.94593 -7.153012333230E-003 -1.32192 -3.36863 -2.636899124835E+001 -2.367999681971E-001 -1.623219519054E-001
5.597583035677E+01 2.95262 -7.213429464247E-003 -1.33928 -3.38202 -2.638009243430E+001 -2.390731082456E-001 -1.462122985455E-001
5.613013763242E+01 2.95954 -7.276399298072E-003 -1.35731 -3.39641 -2.639186946995E+001 -2.411962347803E-001 -1.293128436271E-001
5.628613046631E+01 2.96626 -7.338038322874E-003 -1.37486 -3.41003 -2.640357865063E+001 -2.434945146993E-001 -1.127017839668E-001
